date,n_long,avg_ret_long,avg_ret_all,avg_ret_rest
2025-04-01,100,0.18389893357237902,0.06516672672082591,0.03540928139462212
2025-04-02,100,0.16364839103736828,0.049845319273525736,0.021323246149755667
2025-04-03,100,0.27480059565323384,0.16370063791840764,0.13585603698236098
2025-04-04,100,0.3792311000149173,0.25426475753094496,0.2229448721966161
2025-04-07,100,0.35280438307711476,0.27004428328711544,0.24930240364049905
2025-04-08,100,0.36905386645214977,0.2891707435297854,0.26914991071716277
2025-04-09,100,0.19823628079122466,0.17566889093084162,0.17001290349716164
2025-04-10,100,0.2608513301643021,0.24636170154472156,0.24273021567515254
2025-04-11,100,0.2714513564338641,0.2359107738558531,0.2270033596759005
2025-04-14,100,0.2338970893106896,0.2211007598603861,0.21789365974752814
2025-04-15,100,0.22667027657352862,0.2218673888580442,0.2206636576010306
2025-04-16,100,0.2625204240671249,0.21569859785315365,0.20396380431581745
2025-04-17,100,0.21865417256644842,0.20175355321558647,0.19751780901737548
2025-04-21,100,0.27928885320274316,0.24916176435603649,0.24161111552227543
2025-04-22,100,0.22752269413598059,0.22012560808030934,0.2182717018006925
2025-04-23,100,0.16605375628596714,0.19867159473910803,0.2068464915945318
2025-04-24,100,0.13500346195822224,0.18236535133724613,0.1942354990512872
2025-04-25,100,0.13462549461138346,0.19973659394809976,0.21605516521043464
2025-04-28,100,0.1425301569480725,0.18595451883663386,0.19683781755557156
2025-04-29,100,0.12721375892874234,0.18161095626163962,0.19524433905183947
2025-04-30,100,0.12590704424642107,0.20217488829059527,0.22128963617134068
2025-05-01,100,0.11432576802361362,0.1797810502887289,0.19618588293662748
2025-05-02,100,0.09603455959096496,0.14045192518148975,0.1515840970086889
2025-05-05,100,0.10778728577255298,0.13809508598869097,0.145691025892485
2025-05-06,100,0.0929285491987065,0.11909267212316317,0.12565009641500693
2025-05-07,100,0.11679406876765755,0.13361654905028408,0.1378327095221203
2025-05-08,100,0.08720475713958108,0.11677252605911628,0.1241829944600023
2025-05-09,100,0.07038268191321045,0.11973236848091998,0.1321007109790928
2025-05-12,100,0.018357712384724154,0.0626376592976357,0.07373539035350325
2025-05-13,100,0.02528557691677456,0.049491859390720816,0.05555859685286272
2025-05-14,100,0.028613874172306354,0.05733700910100426,0.06453578978488846
2025-05-15,100,0.07019112308733196,0.08927654946522025,0.09405986434689648
2025-05-16,100,0.08531861962341239,0.1024778356913503,0.10677839109684853
2025-05-19,100,0.06712795379404862,0.09703002721706046,0.10452428120779023
2025-05-20,100,0.04835165055264566,0.09179316927253367,0.10268076794919731
2025-05-21,100,0.09536453876562317,0.13441632303148177,0.14420373763445385
2025-05-22,100,0.07643565306275714,0.12317013356919011,0.1348830359517548
2025-05-23,100,0.0901068192831839,0.1271844054409532,0.1364770335506698
2025-05-27,100,0.04489879477856054,0.10225451725378026,0.11662938504205587
2025-05-28,100,0.12455779921812933,0.15196150604320394,0.1588296029918442
2025-05-29,100,0.0910555190579168,0.14402809098764893,0.15730442480462445
2025-05-30,100,0.09064630169402658,0.1552615738723254,0.17145587767641027
2025-06-02,100,0.11681287625224421,0.1665178919283392,0.17897528934089432
2025-06-03,100,0.11540007452524828,0.14491091001690048,0.15230710938824188
2025-06-04,100,0.07568522562317917,0.1514906864039983,0.17048954875508077
2025-06-05,100,0.07163694368994411,0.14611863047886003,0.16478571989964094
2025-06-06,100,0.08494371134752876,0.13003827255687486,0.14134016759681126
2025-06-09,100,0.09104500045106009,0.13704833833235971,0.1485779969492268
2025-06-10,100,0.050684866061327896,0.12487512511603972,0.14346917500443868
2025-06-11,100,0.05670411371163997,0.1265021489040164,0.14399539080686763
2025-06-12,100,0.07697296983284709,0.12764234198615898,0.14034143275140004
2025-06-13,100,0.10406323279068679,0.15071414523163298,0.16240610323688265
2025-06-16,100,0.10838082087127139,0.14847073764362803,0.1585183358321886
2025-06-17,100,0.09630038645519708,0.14414416745984376,0.15613509001739934
2025-06-18,100,0.1020012399466861,0.14209108181079988,0.15213866122536474
2025-06-20,100,0.10339364281706359,0.14964407086568227,0.1612356568427797
2025-06-23,100,0.08968218060825851,0.1464400496067111,0.16066507943088468
2025-06-24,100,0.10236816771651167,0.15123419597945106,0.16348132085738074
2025-06-25,100,0.08580109865004401,0.14623600089575023,0.16138259293728063
2025-06-26,100,0.06505658427507076,0.13338287528316384,0.15050725899446538
2025-06-27,100,0.05748660092328752,0.13221776280889577,0.150947377316567
2025-06-30,100,0.03878218405373184,0.12685777254056474,0.14893185486809177
